id,text,isAllDay,isRecommended,isSynced,idGoogleEvent,createdAt,updatedAt,endAt,startAt,idType
1304,Morning Routine,0,0,0,,2022-01-08 18:46:15.189,2022-01-08 18:46:15.189,2022-02-13 10:00:00,2022-02-13 08:00:00,127
1305,Morning Routine,0,0,0,,2022-01-08 18:46:15.204,2022-01-08 18:46:15.204,2022-02-14 10:00:00,2022-02-14 08:00:00,127
1306,Morning Routine,0,0,0,,2022-01-08 18:46:15.219,2022-01-08 18:46:15.219,2022-02-15 10:00:00,2022-02-15 08:00:00,127
1307,Morning Routine,0,0,0,,2022-01-08 18:46:15.232,2022-01-08 18:46:15.232,2022-02-16 10:00:00,2022-02-16 08:00:00,127
1308,Morning Routine,0,0,0,,2022-01-08 18:46:15.244,2022-01-08 18:46:15.244,2022-02-17 10:00:00,2022-02-17 08:00:00,127
1309,Morning Routine,0,0,0,,2022-01-08 18:46:15.257,2022-01-08 18:46:15.257,2022-02-18 10:00:00,2022-02-18 08:00:00,127
1310,Morning Routine,0,0,0,,2022-01-08 18:46:15.269,2022-01-08 18:46:15.269,2022-02-19 10:00:00,2022-02-19 08:00:00,127
1311,Morning Routine,0,0,0,,2022-01-08 18:46:15.281,2022-01-08 18:46:15.281,2022-02-20 10:00:00,2022-02-20 08:00:00,127
1312,Morning Routine,0,0,0,,2022-01-08 18:46:15.294,2022-01-08 18:46:15.294,2022-02-21 10:00:00,2022-02-21 08:00:00,127
1313,Morning Routine,0,0,0,,2022-01-08 18:46:15.308,2022-01-08 18:46:15.308,2022-02-22 10:00:00,2022-02-22 08:00:00,127
1314,Morning Routine,0,0,0,,2022-01-08 18:46:15.322,2022-01-08 18:46:15.322,2022-02-23 10:00:00,2022-02-23 08:00:00,127
1315,Morning Routine,0,0,0,,2022-01-08 18:46:15.336,2022-01-08 18:46:15.336,2022-02-24 10:00:00,2022-02-24 08:00:00,127
1316,Morning Routine,0,0,0,,2022-01-08 18:46:15.35,2022-01-08 18:46:15.35,2022-02-25 10:00:00,2022-02-25 08:00:00,127
1317,Morning Routine,0,0,0,,2022-01-08 18:46:15.362,2022-01-08 18:46:15.363,2022-02-26 10:00:00,2022-02-26 08:00:00,127
1318,Morning Routine,0,0,0,,2022-01-08 18:46:15.375,2022-01-08 18:46:15.375,2022-02-27 10:00:00,2022-02-27 08:00:00,127
