id,idType,idEndpoint,idMoment,idFlexibility,dateTiem,createdAt,updatedAt
167,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:56:18.71,2022-01-07 16:56:18.71
168,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:56:18.709,2022-01-07 16:56:18.709
169,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:58:13.596,2022-01-07 16:58:13.596
170,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:58:13.596,2022-01-07 16:58:13.596
171,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:58:13.595,2022-01-07 16:58:13.595
172,80,85,88,25,2022-01-07 10:00:00,2022-01-07 16:58:33.188,2022-01-07 16:58:33.188
173,80,84,88,25,2022-01-07 08:00:00,2022-01-07 16:58:33.188,2022-01-07 16:58:33.188
174,80,84,87,25,2022-01-07 00:00:00,2022-01-07 16:58:33.187,2022-01-07 16:58:33.187
175,80,85,88,25,2022-01-07 10:00:00,2022-01-07 17:02:43.751,2022-01-07 17:02:43.751
176,80,84,88,25,2022-01-07 08:00:00,2022-01-07 17:02:43.75,2022-01-07 17:02:43.75
177,80,84,87,25,2022-01-07 00:00:00,2022-01-07 17:02:43.75,2022-01-07 17:02:43.75
178,80,85,88,25,2022-01-07 10:00:00,2022-01-07 17:07:26.981,2022-01-07 17:07:26.981
179,80,84,88,25,2022-01-07 08:00:00,2022-01-07 17:07:26.981,2022-01-07 17:07:26.981
180,80,84,87,25,2022-01-07 00:00:00,2022-01-07 17:07:26.98,2022-01-07 17:07:26.98
181,80,84,87,25,2022-01-07 00:00:00,2022-01-07 17:13:09.006,2022-01-07 17:13:09.006
182,80,85,87,25,2022-01-31 00:00:00,2022-01-08 13:02:00.858,2022-01-08 13:02:00.858
183,80,84,87,25,2022-01-01 00:00:00,2022-01-08 13:02:00.857,2022-01-08 13:02:00.857
184,80,85,87,25,2022-01-31 00:00:00,2022-01-08 13:04:45.214,2022-01-08 13:04:45.214
185,80,84,87,25,2022-01-01 00:00:00,2022-01-08 13:04:45.214,2022-01-08 13:04:45.214
186,80,85,87,25,2022-01-15 00:00:00,2022-01-08 14:13:32.966,2022-01-08 14:13:32.966
